address,latitude,longitude
225 ELLIS ST,37.785168167775,-122.409926005212
410 SOUTH VAN NESS AVE,37.76660344245,-122.417697863723
420 ELLIS ST,37.784865972785,-122.413167838937
498 CENTRAL AVE,37.774099508693,-122.444323276756
3107 22ND ST,37.755500682743,-122.416760409194
586 ELLIS ST,37.784539228965,-122.415837302897
1001 JONES ST,37.790511559622,-122.413997347455
666 ELLIS ST,37.784366371305,-122.417160049378
702 ELLIS ST,37.784279837121,-122.417821588946
1130 POST ST,37.786848167017,-122.420220334834
460 SOUTH VAN NESS AVE,37.765913182974,-122.417630017791
930 POST ST,37.787229440259,-122.417190745276
1913 DIVISADERO ST,37.787257352704,-122.440398714882
3278 21ST ST,37.756982702271,-122.420732540777
790 ELLIS ST,37.784110034568,-122.419180010091
814 POST ST,37.787476998016,-122.415291910347
802 POST ST,37.787501143747,-122.415108302089
901 OAK ST,37.773487454767,-122.434170451561
566 SOUTH VAN NESS AVE,37.764113501356,-122.417455414857
898 ELLIS ST,37.783896703812,-122.420865187314
815 DIVISADERO ST,37.777049753336,-122.438360214441
400 PIERCE ST,37.773618560806,-122.434049942376
722 SOUTH VAN NESS AVE,37.761574628868,-122.417211702055
766 SOUTH VAN NESS AVE,37.760906666783,-122.417147908005
333 DIVISADERO ST,37.772510333753,-122.437417574876
311 DIVISADERO ST,37.772325760728,-122.437380016436
2650 19TH AVE,37.738374306067,-122.475239018311
26 NOE ST,37.768680011132,-122.433595935459
24 NOE ST,37.768716482158,-122.433599372514
27 NOE ST,37.76870043303,-122.433452494885
